ForeFlight Logbook Import,This row is required for importing into ForeFlight. Do not delete or modify.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,TypeCode,Year,Make,Model,GearType,EngineType,equipType (FAA),aircraftClass (FAA),complexAircraft (FAA),taa (FAA),highPerformance (FAA),pressurized (FAA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1977E,C172P,,Cessna,172P,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N123AB,PA28,,Piper,PA28,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N456CD,SR22,,Cirrus,SR22,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N999ZZ,C172S,,Cessna,172S,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N789EF,PA44,,Piper,PA44,retractable_tricycle,Piston,aircraft,airplane_multi_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flights Table , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually
Date,AircraftID,From,To,Route,TimeOut,TimeOff,TimeOn,TimeIn,OnDuty,OffDuty,TotalTime,PIC,SIC,Night,Solo,CrossCountry,PICUS,MultiPilot,IFR,Examiner,NVG,NVG Ops,Distance,ActualInstrument,SimulatedInstrument,HobbsStart,HobbsEnd,TachStart,TachEnd,Holds,Approach1,Approach2,Approach3,Approach4,Approach5,Approach6,DualGiven,DualReceived,SimulatedFlight,GroundTraining,GroundTrainingGiven,InstructorName,InstructorComments,Person1,Person2,Person3,Person4,Person5,Person6,PilotComments,Flight Review (FAA),IPC (FAA),Checkride (FAA),FAA 61.58 (FAA),NVG Proficiency (FAA),DayTakeoffs,DayLandingsFullStop,NightTakeoffs,NightLandingsFullStop,AllLandings
4/27/25,N123AB,KORL,KORL,KORL KSFB KORL,,,,,,,1.2,1.2,,,,,,,,,,,20,,0.2,,,,,,1;RNAV (GPS) RWY 01;01;KORL;;,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
11/9/25,N123AB,KORL,KORL,KORL KDAB KORL,,,,,,,1.8,1.8,,,,,,,,,,,90,,0.8,,,,,,1;RNAV (GPS) RWY 01;01;KORL;;,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
9/16/25,N123AB,KORL,KORL,KORL KTPA KORL,,,,,,,1.2,1.2,,,,,,,,,,,140,,1.2,,,,,,1;RNAV (GPS) RWY 01;01;KORL;;,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
8/1/25,N123AB,KORL,KORL,KORL KPGD KORL,,,,,,,1.8,1.8,,0.9,,,,,,,,,210,,1.1,,,,,,1;RNAV (GPS) RWY 01;01;KORL;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2
3/22/25,N123AB,KORL,KORL,KORL KDAB KORL,,,,,,,1.8,1.8,,,,,,,,,,,90,,0.8,,,,,,1;RNAV (GPS) RWY 01;01;KORL;;,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
4/20/25,N123AB,KORL,KORL,KORL KOCF KORL,,,,,,,1.8,1.8,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
12/3/25,N123AB,KORL,KORL,KORL KMLB KORL,,,,,,,1.8,1.8,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
7/1/25,N123AB,KORL,KORL,KORL KSFB KORL,,,,,,,1.2,1.2,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
10/12/25,N123AB,KORL,KORL,KORL KSRQ KORL,,,,,,,1.6,1.6,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
8/7/25,N123AB,KORL,KORL,KORL KSFB KORL,,,,,,,1.2,1.2,,,,,,,,,,,20,,0.2,,,,,,1;RNAV (GPS) RWY 01;01;KORL;;,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
6/12/25,N123AB,KORL,KORL,KORL KDAB KORL,,,,,,,1.8,1.8,,0.6,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2
5/2/25,N123AB,KORL,KORL,KORL KGNV KTLH KORL,,,,,,,3.2,3.2,,0.7,,,,,,,,,380,,1.9,,,,,,1;RNAV (GPS) RWY 01;01;KORL;;,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3
