ForeFlight Logbook Import,This row is required for importing into ForeFlight. Do not delete or modify.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,TypeCode,Year,Make,Model,GearType,EngineType,equipType (FAA),aircraftClass (FAA),complexAircraft (FAA),taa (FAA),highPerformance (FAA),pressurized (FAA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N111AA,E175,,Embraer,E175,retractable_tricycle,Jet,aircraft,airplane_multi_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N222BB,A320,,Airbus,A320,retractable_tricycle,Jet,aircraft,airplane_multi_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N333CC,A330,,Airbus,A330,retractable_tricycle,Jet,aircraft,airplane_multi_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flights Table , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually
Date,AircraftID,From,To,Route,TimeOut,TimeOff,TimeOn,TimeIn,OnDuty,OffDuty,TotalTime,PIC,SIC,Night,Solo,CrossCountry,PICUS,MultiPilot,IFR,Examiner,NVG,NVG Ops,Distance,ActualInstrument,SimulatedInstrument,HobbsStart,HobbsEnd,TachStart,TachEnd,Holds,Approach1,Approach2,Approach3,Approach4,Approach5,Approach6,DualGiven,DualReceived,SimulatedFlight,GroundTraining,GroundTrainingGiven,InstructorName,InstructorComments,Person1,Person2,Person3,Person4,Person5,Person6,PilotComments,Flight Review (FAA),IPC (FAA),Checkride (FAA),FAA 61.58 (FAA),NVG Proficiency (FAA),DayTakeoffs,DayLandingsFullStop,NightTakeoffs,NightLandingsFullStop,AllLandings
1/1/11,N111AA,KDCA,KPBI,KDCA KPBI,,,,,,,2.4,2.4,,,,2.4,,,,,,,746.5,,,,,,,,1;RNAV (GPS) RWY 36R;36R;KPBI;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/1/11,N111AA,KPBI,KDCA,KPBI KDCA,,,,,,,2.4,2.4,,,,2.4,,,,,,,746.5,1,,,,,,,1;RNAV (GPS) RWY 18;18;KDCA;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/1/11,N111AA,KDCA,KMSP,KDCA KMSP,,,,,,,2.7,2.7,,2.7,,2.7,,,,,,,807.2,,,,,,,,1;ILS OR LOC RWY 09;09;KMSP;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1/1/11,N111AA,KMSP,KDCA,KMSP KDCA,,,,,,,2.8,2.8,,,,2.8,,,,,,,807.2,,,,,,,,1;ILS OR LOC RWY 09;09;KDCA;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/3/11,N111AA,KDCA,KBGL,KDCA KBGL,,,,,,,1.8,1.8,,1.8,,1.8,,,,,,,512.2,,,,,,,,1;ILS OR LOC RWY 27L;27L;KBGL;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1/3/11,N111AA,KBGL,KDCA,KBGL KDCA,,,,,,,1.8,1.8,,1.8,,1.8,,,,,,,512.2,,,,,,,,1;ILS OR LOC RWY 27L;27L;KDCA;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1/4/11,N111AA,KDCA,KBTV,KDCA KBTV,,,,,,,1.5,1.5,,1.5,,1.5,,,,,,,379.7,,,,,,,,1;RNAV (GPS) RWY 18;18;KBTV;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1/4/11,N111AA,KBTV,KDCA,KBTV KDCA,,,,,,,1.5,1.5,,,,1.5,,,,,,,379.7,,,,,,,,1;RNAV (GPS) RWY 09;09;KDCA;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/8/11,N111AA,KDCA,KBTV,KDCA KBTV,,,,,,,1.5,1.5,,1.5,,1.5,,,,,,,379.7,0.6,,,,,,,1;ILS OR LOC RWY 22;22;KBTV;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1/8/11,N111AA,KBTV,KDCA,KBTV KDCA,,,,,,,1.6,1.6,,,,1.6,,,,,,,379.7,0.5,,,,,,,1;RNAV (GPS) RWY 22;22;KDCA;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/13/11,N111AA,KDCA,KTPA,KDCA KTPA,,,,,,,2.5,2.5,,,,2.5,,,,,,,708.3,,,,,,,,1;RNAV (GPS) RWY 36R;36R;KTPA;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/13/11,N111AA,KTPA,KDCA,KTPA KDCA,,,,,,,2.5,2.5,,,,2.5,,,,,,,708.3,,,,,,,,1;RNAV (GPS) RWY 04;04;KDCA;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/13/11,N111AA,KDCA,KCLT,KDCA KCLT,,,,,,,1.4,1.4,,1.4,,1.4,,,,,,,287.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1/13/11,N111AA,KCLT,KDCA,KCLT KDCA,,,,,,,1.4,1.4,,,,1.4,,,,,,,287.5,,,,,,,,1;RNAV (GPS) RWY 22;22;KDCA;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/16/11,N111AA,KDCA,KORF,KDCA KORF,,,,,,,0.8,0.8,,,,0.8,,,,,,,124,,,,,,,,1;RNAV (GPS) RWY 04;04;KORF;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/16/11,N111AA,KORF,KDCA,KORF KDCA,,,,,,,1,1,,,,1,,,,,,,124,,,,,,,,1;ILS OR LOC RWY 18;18;KDCA;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/16/11,N111AA,KDCA,KCLE,KDCA KCLE,,,,,,,1.4,1.4,,,,1.4,,,,,,,268.7,,,,,,,,1;ILS OR LOC RWY 27L;27L;KCLE;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
1/16/11,N111AA,KCLE,KDCA,KCLE KDCA,,,,,,,1.3,1.3,,,,1.3,,,,,,,268.7,0.2,,,,,,,1;RNAV (GPS) RWY 04;04;KDCA;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
