ForeFlight Logbook Import,This row is required for importing into ForeFlight. Do not delete or modify.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,TypeCode,Year,Make,Model,GearType,EngineType,equipType (FAA),aircraftClass (FAA),complexAircraft (FAA),taa (FAA),highPerformance (FAA),pressurized (FAA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1977E,C172P,,Cessna,172P,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N123AB,PA28,,Piper,PA28,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N456CD,SR22,,Cirrus,SR22,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N999ZZ,C172S,,Cessna,172S,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N789EF,PA44,,Piper,PA44,retractable_tricycle,Piston,aircraft,airplane_multi_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flights Table , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually
Date,AircraftID,From,To,Route,TimeOut,TimeOff,TimeOn,TimeIn,OnDuty,OffDuty,TotalTime,PIC,SIC,Night,Solo,CrossCountry,PICUS,MultiPilot,IFR,Examiner,NVG,NVG Ops,Distance,ActualInstrument,SimulatedInstrument,HobbsStart,HobbsEnd,TachStart,TachEnd,Holds,Approach1,Approach2,Approach3,Approach4,Approach5,Approach6,DualGiven,DualReceived,SimulatedFlight,GroundTraining,GroundTrainingGiven,InstructorName,InstructorComments,Person1,Person2,Person3,Person4,Person5,Person6,PilotComments,Flight Review (FAA),IPC (FAA),Checkride (FAA),FAA 61.58 (FAA),NVG Proficiency (FAA),DayTakeoffs,DayLandingsFullStop,NightTakeoffs,NightLandingsFullStop,AllLandings
1/1/22,N999ZZ,KDVT,KDVT,KDVT KIFP KDVT,,,,,,,2.7,2.7,,1.5,,,,,,,,,300,2.7,0.5,,,,,,1;RNAV (GPS) RWY 01;01;KDVT;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
1/4/22,N789EF,KDVT,KDVT,KDVT KPGA KDVT,,,,,,,2.5,2.5,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
1/8/22,N999ZZ,KDVT,KDVT,KDVT KIFP KDVT,,,,,,,2.7,2.7,,0.6,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
1/11/22,N999ZZ,KDVT,KDVT,KDVT KPSP KFFZ KDVT,,,,,,,2.4,2.4,,1,,,,,,,,,264,,1,,,,,,1;RNAV (GPS) RWY 01;01;KDVT;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3
1/15/22,N999ZZ,KDVT,KDVT,KDVT KGEU KDVT,,,,,,,1.3,1.3,,0.272727273,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
1/19/22,N789EF,KDVT,KDVT,KDVT KCRK KDVT,,,,,,,3.5,3.5,,,,,,,,,,,560,,0.5,,,,,,1;RNAV (GPS) RWY 01;01;KDVT;;,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
1/22/22,N789EF,KDVT,KDVT,KDVT KSBA KDVT,,,,,,,4.8,4.8,,,,,,,,,,,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
1/26/22,N999ZZ,KDVT,KDVT,KDVT KCHD KDVT,,,,,,,1.5,1.5,,0.5,,,,,,,,,60,,0.5,,,,,,1;RNAV (GPS) RWY 01;01;KDVT;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
1/30/22,N789EF,KDVT,KDVT,KDVT KSAF KDVT,,,,,,,4.1,4.1,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
2/2/22,N999ZZ,KDVT,KDVT,KDVT KGYR KDVT,,,,,,,1.4,1.4,,,,,,,,,,,40,0.4,,,,,,,1;RNAV (GPS) RWY 01;01;KDVT;;,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
2/6/22,N789EF,KDVT,KDVT,KDVT KLGB KDVT,,,,,,,3.6,3.6,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
2/10/22,N789EF,KDVT,KDVT,KDVT KDRO KDVT,,,,,,,4,4,,0.6,,,,,,,,,640,1.9,,,,,,,1;RNAV (GPS) RWY 01;01;KDVT;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
