ForeFlight Logbook Import,This row is required for importing into ForeFlight. Do not delete or modify.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,TypeCode,Year,Make,Model,GearType,EngineType,equipType (FAA),aircraftClass (FAA),complexAircraft (FAA),taa (FAA),highPerformance (FAA),pressurized (FAA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1977E,C172P,,Cessna,172P,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N123AB,PA28,,Piper,PA28,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N456CD,SR22,,Cirrus,SR22,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N999ZZ,C172S,,Cessna,172S,fixed_tricycle,Piston,aircraft,airplane_single_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N789EF,PA44,,Piper,PA44,retractable_tricycle,Piston,aircraft,airplane_multi_engine_land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flights Table , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually,Deprecated: Do not edit manually
Date,AircraftID,From,To,Route,TimeOut,TimeOff,TimeOn,TimeIn,OnDuty,OffDuty,TotalTime,PIC,SIC,Night,Solo,CrossCountry,PICUS,MultiPilot,IFR,Examiner,NVG,NVG Ops,Distance,ActualInstrument,SimulatedInstrument,HobbsStart,HobbsEnd,TachStart,TachEnd,Holds,Approach1,Approach2,Approach3,Approach4,Approach5,Approach6,DualGiven,DualReceived,SimulatedFlight,GroundTraining,GroundTrainingGiven,InstructorName,InstructorComments,Person1,Person2,Person3,Person4,Person5,Person6,PilotComments,Flight Review (FAA),IPC (FAA),Checkride (FAA),FAA 61.58 (FAA),NVG Proficiency (FAA),DayTakeoffs,DayLandingsFullStop,NightTakeoffs,NightLandingsFullStop,AllLandings
04/19/20,N1977E,KVKX,KVKX,KVKX CWD KVKX,,,,,,,1.1,1.1,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
10/27/20,N1977E,KVKX,KVKX,KVKX W29 KVKX,,,,,,,0.6,0.6,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
04/13/20,N1977E,KVKX,KVKX,KVKX KSBY KOXB KVKX,,,,,,,2.2,2.2,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3
06/17/20,N1977E,KVKX,KCGE,KVKX KCGE,,,,,,,0.6,0.6,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
09/20/20,N1977E,KVKX,KVKX,KVKX KESN KVKX,,,,,,,0.7,0.7,,,,,,,,,,,70,,0.7,,,,,,1;RNAV (GPS) RWY 01;01;KVKX;;,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
02/19/20,N1977E,KVKX,KESN,KVKX KESN,,,,,,,0.6,0.6,,,,,,,,,,,35,,0.6,,,,,,1;RNAV (GPS) RWY 01;01;KESN;;,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
04/11/20,N1977E,KVKX,KVKX,KVKX W50 KVKX,,,,,,,0.6,0.6,,0.5,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
02/22/20,N1977E,KVKX,KVKX,KVKX W50 KVKX,,,,,,,0.6,0.6,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
06/05/20,N1977E,KVKX,KVKX,KVKX KCGE KVKX,,,,,,,1.0,1.0,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
06/09/20,N1977E,KVKX,KVKX,KVKX KESN KVKX,,,,,,,0.7,0.7,,,,,,,,,,,70,,0.1,,,,,,1;RNAV (GPS) RWY 01;01;KVKX;;,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
04/20/20,N1977E,KVKX,2W6,KVKX 2W6,,,,,,,0.6,0.6,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
06/18/20,N1977E,KVKX,W50,KVKX W50,,,,,,,0.6,0.6,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
08/15/20,N1977E,KVKX,KVKX,KVKX 2W5 KVKX,,,,,,,0.6,0.6,,0.6,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
12/20/20,N1977E,KVKX,KESN,KVKX KESN,,,,,,,0.6,0.6,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
06/02/20,N1977E,KVKX,KVKX,KVKX KMTN KVKX,,,,,,,0.8,0.8,,0.6,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
01/10/20,N1977E,KVKX,KVKX,KVKX KTTN KVKX,,,,,,,2.6,2.6,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
